size,distribution,capacity_level,h2_runs,h2_feasible_runs,h2_upper_bound_certified_runs,h2_runtime_mean_seconds,h2_time_to_best_mean_seconds,compact_instances,compact_incumbents,compact_certified_optima,compact_runtime_mean_seconds,compact_solver_mean_seconds
large,clustered,loose,25,25,25,0.2952129720000084,0.2952117680001538,5,5,5,0.9113438000029419,0.6718
large,clustered,medium,25,25,25,0.28817289199912915,0.28817158400022885,5,5,5,1.1512160000042058,0.7156
large,clustered,tight,25,25,0,5.4244765320012815,1.4693508119991747,5,5,5,6.153666500002146,5.9158
large,uniform,loose,25,25,25,0.2960618560004514,0.2960606279998319,5,5,5,0.9462872799980687,0.6874
large,uniform,medium,25,25,25,0.28618455999821885,0.28618335199949796,5,5,5,0.9650689400004921,0.7184
large,uniform,tight,25,25,15,1.499577035998227,0.2852298279997194,5,5,5,4.075473019998753,3.8314
medium,clustered,loose,25,25,25,0.020328864000039127,0.02032760400208641,5,5,5,0.39539631999796254,0.1654
medium,clustered,medium,25,25,20,0.022859775999095236,0.020376484002335892,5,5,5,0.4092592199944193,0.20579999999999998
medium,clustered,tight,25,25,15,0.45365853600145783,0.29909151600324546,5,5,5,0.5155765199975576,0.313
medium,uniform,loose,25,25,25,0.021208764001494233,0.021207440000725865,5,5,5,0.36324668000452215,0.15
medium,uniform,medium,25,25,25,0.02042450800130605,0.020423156003234855,5,5,5,0.35395899999712127,0.1564
medium,uniform,tight,25,25,5,0.05524737600062503,0.02040606400056272,5,5,5,1.418471839997801,0.5
xlarge,clustered,loose,25,25,25,2.233859651997918,2.2338582239998503,5,5,5,2.7340467400033956,2.3532
xlarge,clustered,medium,25,25,25,2.3089675880002325,2.3089660560002083,5,5,5,2.792196059998241,2.3842
xlarge,clustered,tight,25,25,10,7.616914995999541,5.0702577639999795,5,5,5,24.22331361999677,23.6716
xlarge,uniform,loose,25,25,25,2.2257041560002837,2.2257027839991497,5,5,5,2.8545797600003424,2.4752
xlarge,uniform,medium,25,25,25,2.051588424000656,2.051587067999644,5,5,5,2.852616759997909,2.4652000000000003
xlarge,uniform,tight,25,24,0,17.17006548399979,6.465371429168347,5,5,4,36.14989656000107,35.637800000000006
